Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Alikhan Zhanybekov,38.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,1.0,10.0,1.0
2.0,Sardar Bakiev (Сардар Бакиев),41.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0
3.0,Chyngyz Sultanbekov (Чынгыз Султанбеков),92.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,5.0,54.0,15.0
4.0,Dmitry Ni (Дмитрий Ни),98.0,11.0,9.0,9.0,10.0,3.0,2.0,2.0,6.0,4.0,18.0,7.0,3.0,14.0
5.0,Erbol Bekbars (Эрбол Бекбарс),101.0,7.0,7.0,3.0,17.0,3.0,2.0,2.0,3.0,4.0,18.0,12.0,5.0,18.0
6.0,Nikita Yurchenko (Никита Юрченко),112.0,10.0,18.0,6.0,5.0,3.0,2.0,2.0,8.0,4.0,9.0,14.0,22.0,9.0
7.0,Emir Moidunov (Эмир Мойдунов),127.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,10.0,26.0,54.0,6.0
8.0,Ilyaz Idirisov (Ильяз Идирисов),134.0,6.0,5.0,8.0,17.0,3.0,2.0,2.0,7.0,4.0,18.0,6.0,54.0,2.0
9.0,Atai Aldashev (Атай Алдашев),138.0,9.0,6.0,27.0,14.0,3.0,2.0,2.0,14.0,3.0,4.0,4.0,32.0,18.0
10.0,Baatyr Kurmanaliev (Баатыр Курманалиев),147.0,21.0,11.0,18.0,17.0,3.0,2.0,2.0,35.0,4.0,18.0,9.0,2.0,5.0
11.0,Amir Kojanov (Амир Кожанов),162.0,27.0,23.0,25.0,17.0,3.0,2.0,2.0,48.0,1.0,6.0,3.0,1.0,4.0
12.0,Nursultan Zhenishbek Uulu (Нурсултан Женишбек Уулу),168.0,24.0,12.0,19.0,17.0,3.0,2.0,2.0,19.0,4.0,18.0,13.0,17.0,18.0
13.0,Elnur Abdubakirov,169.0,31.0,17.0,28.0,17.0,3.0,2.0,2.0,20.0,4.0,11.0,10.0,6.0,18.0
14.0,Nurtilek Asanov (Нуртилек Асанов),178.0,30.0,13.0,20.0,17.0,3.0,2.0,2.0,26.0,4.0,18.0,18.0,15.0,10.0
15.0,Aidar Isakov (Айдар Исаков),182.0,18.0,27.0,31.0,17.0,3.0,2.0,2.0,15.0,4.0,18.0,19.0,8.0,18.0
16.0,Iman Kadyrov (Иман Кадыров),203.0,29.0,28.0,17.0,6.0,3.0,2.0,2.0,17.0,4.0,5.0,29.0,54.0,7.0
17.0,Bekzat Bektursunov (Бекзат Бектурсунов),213.0,14.0,15.0,15.0,11.0,3.0,2.0,2.0,23.0,4.0,14.0,56.0,38.0,16.0
18.0,Umar Temiraliev (Умар Темиралиев),223.0,25.0,20.0,12.0,17.0,3.0,2.0,2.0,48.0,4.0,7.0,11.0,54.0,18.0
19.0,Dastan Zhenishbekov (Дастан Женишбеков),226.0,20.0,8.0,53.0,17.0,3.0,2.0,2.0,11.0,4.0,18.0,16.0,54.0,18.0
20.0,Askar Almaz (Аскар Алмаз),228.0,5.0,19.0,11.0,9.0,3.0,2.0,2.0,12.0,4.0,8.0,115.0,26.0,12.0
21.0,Zhaisan Madiev (Жайсан Мадиев),245.0,12.0,30.0,16.0,17.0,3.0,2.0,2.0,9.0,4.0,13.0,115.0,14.0,8.0
22.0,Azim Zhasynov (Азим Жасынов),247.0,16.0,24.0,13.0,17.0,3.0,2.0,2.0,40.0,4.0,18.0,36.0,54.0,18.0
23.0,Baiel Jusubaliev,252.0,22.0,38.0,29.0,17.0,3.0,2.0,2.0,22.0,4.0,18.0,23.0,54.0,18.0
24.0,Adil Akhmetov (Адиль Ахметов),257.0,37.0,42.0,35.0,13.0,3.0,2.0,2.0,48.0,4.0,18.0,27.0,9.0,17.0
25.0,Ilyas Omurbekov (Ильяс Омурбеков),267.0,34.0,33.0,33.0,15.0,3.0,2.0,2.0,32.0,4.0,18.0,62.0,16.0,13.0
26.0,Argen Omurakunov (Арген Омуракунов),269.0,39.0,46.0,46.0,17.0,3.0,2.0,2.0,31.0,4.0,18.0,15.0,28.0,18.0
27.0,Aktan Kayirdinov (Актан Кайырдинов),275.0,13.0,16.0,10.0,7.0,3.0,2.0,2.0,13.0,4.0,18.0,115.0,54.0,18.0
27.0,Yuri Fotin (Юрий Фотин),275.0,44.0,26.0,42.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,30.0,21.0,18.0
27.0,Aknazar Tursunaliev (Акназар Турсуналиев),275.0,63.0,21.0,49.0,17.0,3.0,2.0,2.0,48.0,2.0,17.0,33.0,7.0,11.0
30.0,Amantay Asanbekov (Амантай Асанбеков),281.0,28.0,40.0,36.0,17.0,3.0,2.0,2.0,16.0,4.0,18.0,43.0,54.0,18.0
31.0,Aleksandr Korotenko (Александр Коротенко),283.0,8.0,132.0,7.0,17.0,3.0,2.0,1.0,2.0,4.0,18.0,17.0,54.0,18.0
31.0,Salamat Biygaziev (Саламат Бийгазиев),283.0,61.0,47.0,32.0,12.0,3.0,2.0,2.0,28.0,4.0,12.0,8.0,54.0,18.0
33.0,Doolot Maksatbekov (Доолот Максатбеков),296.0,53.0,32.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,22.0,24.0,18.0
34.0,Bayel Arzykulov (Байэл Арзыкулов),297.0,43.0,53.0,53.0,17.0,3.0,2.0,2.0,30.0,4.0,18.0,31.0,23.0,18.0
35.0,Arthur Bekdjanov,303.0,32.0,14.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,38.0,54.0,18.0
36.0,Nurbek Dosbolov (Нурбек Досболов),310.0,75.0,57.0,40.0,17.0,3.0,2.0,2.0,38.0,4.0,18.0,25.0,11.0,18.0
37.0,Nikita Nosov (Никита Носов),311.0,42.0,31.0,38.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,63.0,25.0,18.0
38.0,Atai Seitov (Атай Сеитов),315.0,54.0,29.0,43.0,17.0,3.0,2.0,2.0,39.0,4.0,18.0,32.0,54.0,18.0
39.0,Nurel Nuraliev (Нурэл Нуралиев),319.0,70.0,35.0,53.0,17.0,3.0,2.0,2.0,29.0,4.0,18.0,28.0,40.0,18.0
40.0,Iskender Beishenaliev (Искендер Бейшеналиев),326.0,47.0,44.0,48.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,21.0,54.0,18.0
41.0,Nursultan Abdullaev (Нурсултан Абдуллаев),338.0,74.0,22.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,23.0,54.0,18.0
42.0,Batyrhan Mamashev (Батырхан Мамашев),343.0,26.0,10.0,53.0,17.0,3.0,2.0,2.0,21.0,4.0,18.0,115.0,54.0,18.0
43.0,Joodarbek Erkebaev (Жоодарбек Эркебаев),345.0,56.0,40.0,34.0,17.0,3.0,2.0,2.0,43.0,4.0,18.0,54.0,54.0,18.0
44.0,Torobek Kalmanbetov (Торобек Калманбетов),347.0,89.0,36.0,39.0,16.0,3.0,2.0,2.0,48.0,4.0,16.0,37.0,37.0,18.0
44.0,Egor Bolshakov (Егор Большаков),347.0,58.0,34.0,51.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,46.0,46.0,18.0
46.0,Maxim Shabelnickov,350.0,36.0,37.0,47.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,73.0,45.0,18.0
47.0,Kolbai Esenbekov (Кольбай Эсенбеков),356.0,64.0,71.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,38.0,18.0,18.0
48.0,Aibiyke Kerimkulova (Айбийке Керимкулова),357.0,40.0,77.0,26.0,17.0,3.0,2.0,2.0,45.0,4.0,18.0,51.0,54.0,18.0
48.0,Abdurakhim Zhumaly (Абдурахим Жумалы),357.0,33.0,59.0,14.0,17.0,3.0,2.0,2.0,18.0,4.0,18.0,115.0,54.0,18.0
50.0,Adilet Ikramov (Адилет Икрамов),360.0,48.0,43.0,21.0,8.0,3.0,2.0,2.0,33.0,4.0,15.0,115.0,48.0,18.0
51.0,Aktan Amandukov (Актан Амандуков),369.0,55.0,69.0,53.0,17.0,3.0,2.0,2.0,25.0,4.0,18.0,49.0,54.0,18.0
52.0,Danil Darienko (Данил Дариенко),375.0,82.0,48.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,50.0,30.0,18.0
53.0,Daniel Djolchubekov (Даниел Жолчубеков),376.0,65.0,51.0,41.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,66.0,41.0,18.0
54.0,Temirlan Isaev (Темирлан Исаев),381.0,79.0,50.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,67.0,20.0,18.0
55.0,Nikita Astionov,385.0,91.0,55.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,20.0,54.0,18.0
56.0,Temirlan Kerimkulov (Темирлан Керимкулов),387.0,48.0,48.0,22.0,17.0,3.0,2.0,2.0,47.0,4.0,18.0,114.0,44.0,18.0
57.0,Aidar Abdiev (Айдар Абдиев),390.0,50.0,55.0,52.0,17.0,3.0,2.0,2.0,37.0,4.0,18.0,78.0,54.0,18.0
58.0,Ilya Boldyrev (Илья Болдырев),403.0,93.0,76.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,57.0,12.0,18.0
58.0,Erbol Emilov (Эрбол Эмилов),403.0,86.0,58.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,40.0,54.0,18.0
60.0,Ermek Asangulov (Эрмек Асангулов),409.0,69.0,80.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,41.0,54.0,18.0
61.0,Esen Mamadaliev (Эсен Мамадалиев),412.0,17.0,61.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
62.0,Aivar Jumakadyrov (Айвар Жумакадыров),414.0,100.0,74.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,44.0,31.0,18.0
63.0,Elzar Adylbekov (Элзар Адылбеков),418.0,35.0,52.0,50.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
64.0,Kubanychbek Saparov (Кубанычбек Сапаров),425.0,83.0,132.0,37.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,34.0,27.0,18.0
65.0,Marat Uulu Askar (Марат Уулу Аскар),429.0,52.0,73.0,23.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
66.0,Aidar Amankulov (Айдар Аманкулов),430.0,51.0,45.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
67.0,Akyl Kurmanaliev (Акыл Курманалиев),432.0,80.0,90.0,44.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,52.0,54.0,18.0
68.0,Azim Dzenishbekov (Азим Женишбеков),436.0,60.0,60.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,36.0,18.0
69.0,Aidin Sabyrbekov (Айдин Сабырбеков),439.0,71.0,75.0,45.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,82.0,54.0,18.0
70.0,Alibek Sydygaliev (Алибек Сыдыгалиев),443.0,77.0,64.0,53.0,17.0,3.0,2.0,2.0,41.0,4.0,18.0,115.0,29.0,18.0
71.0,Ilyas Aliev (Ильяс Алиев),446.0,101.0,79.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,47.0,54.0,18.0
72.0,Victoria Ko (Виктория Ко),447.0,59.0,54.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
73.0,Ilhom Mabo (Ильхом Мабо),449.0,87.0,88.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,55.0,54.0,18.0
73.0,Vsevolod Grauverg (Всеволод Грауверг),449.0,66.0,63.0,53.0,17.0,3.0,2.0,2.0,34.0,4.0,18.0,115.0,54.0,18.0
75.0,Emir Nazarbekov (Эмир Назарбеков),453.0,98.0,84.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,72.0,34.0,18.0
76.0,Iskhak Zikirov (Исхак Зикиров),455.0,95.0,72.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,74.0,49.0,18.0
77.0,Rafis Saifulin,460.0,23.0,132.0,24.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
78.0,Bektur Mamadaliev (Бектур Мамадалиев),464.0,116.0,65.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,64.0,54.0,18.0
79.0,Yryskeldi Ismailov (Ырыскелди Исмаилов),471.0,62.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,58.0,54.0,18.0
79.0,Arsen Orozov,471.0,72.0,65.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
81.0,Nurganat Akanov,473.0,180.0,39.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,35.0,54.0,18.0
82.0,Alisher Asekov (Алишер Асеков),479.0,110.0,81.0,53.0,17.0,3.0,2.0,2.0,46.0,4.0,18.0,71.0,54.0,18.0
83.0,Dastan Bostonbaev,481.0,15.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
84.0,Elmar Taalaibek Uulu (Элмар Таалайбек Уулу),482.0,97.0,91.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,75.0,54.0,18.0
84.0,Aslan Kutlimetov,482.0,96.0,68.0,53.0,17.0,3.0,2.0,2.0,44.0,4.0,18.0,115.0,42.0,18.0
84.0,Baihan Saitkulov (Байхан Сайткулов),482.0,120.0,98.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,45.0,54.0,18.0
87.0,Ilimbek Dzhumakadyrov (Илимбек Жумакадыров),485.0,19.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
88.0,Adil Nurmatov (Адил Нурматов),486.0,78.0,86.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,103.0,54.0,18.0
89.0,Almaz Turdaliev (Алмаз Турдалиев),488.0,45.0,132.0,30.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
90.0,Ruslan Li (Руслан Ли),490.0,121.0,100.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,69.0,35.0,18.0
91.0,Islam Hasanov (Ислам Хасанов),491.0,46.0,132.0,53.0,17.0,3.0,2.0,2.0,27.0,4.0,18.0,115.0,54.0,18.0
92.0,Bakdoolot Sadykbekov (Бакдоолот Садыкбеков),493.0,106.0,83.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,85.0,54.0,18.0
93.0,Agzam Shamsadinov (Агзам Шамсадинов),496.0,85.0,77.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,115.0,54.0,18.0
94.0,Erbol Janyshbekov (Эрбол Жанышбеков),497.0,67.0,132.0,53.0,17.0,3.0,2.0,2.0,48.0,4.0,18.0,79.0,54.0,18.0
95.0,Eldar Kasymbaev (Эльдар Касымбаев),501.0,73.0,132.0,53.0,17.0,3.0,2.0,2.0,42.0,4.0,18.0,83.0,54.0,18.0
