Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Ryan Pin Harry,7.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2.0,Aditya Ramessur,28.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0
3.0,Milind Bhoyroo,33.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0
4.0,Timothy Fon Sing,43.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,17.0,4.0,1.0
5.0,Ken Chan Thim,44.0,8.0,4.0,3.0,2.0,2.0,2.0,1.0,7.0,2.0,3.0,5.0,4.0,1.0
6.0,Dylan Dulthummon,47.0,6.0,7.0,6.0,2.0,2.0,2.0,1.0,5.0,2.0,3.0,6.0,4.0,1.0
7.0,Ddounj-Hit Yogendra Anchitpatra Gaijan,68.0,10.0,11.0,5.0,2.0,2.0,2.0,1.0,8.0,2.0,3.0,17.0,4.0,1.0
8.0,Vivek Perbhoo,73.0,9.0,9.0,12.0,2.0,2.0,2.0,1.0,9.0,2.0,3.0,17.0,4.0,1.0
9.0,Shaneel Purahoo,75.0,21.0,14.0,7.0,2.0,2.0,2.0,1.0,12.0,2.0,3.0,4.0,4.0,1.0
10.0,Keshia Soobrayen,76.0,18.0,10.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,3.0,4.0,1.0
11.0,Motasim Mauthoor,77.0,7.0,8.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
12.0,Ghunowa Ojasvi,83.0,2.0,31.0,12.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,17.0,4.0,1.0
13.0,Tommy Andrew Ah Ching,85.0,13.0,15.0,12.0,2.0,2.0,2.0,1.0,11.0,2.0,3.0,17.0,4.0,1.0
14.0,Samuel Chee Man Shing,89.0,14.0,19.0,9.0,2.0,2.0,2.0,1.0,13.0,2.0,3.0,17.0,4.0,1.0
15.0,Dushyant Sunassee,90.0,31.0,5.0,11.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,10.0,4.0,1.0
15.0,Raaid Salman Baray,90.0,12.0,16.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
17.0,Axel Li Sung Sang,93.0,19.0,12.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
18.0,Noah Krishnamoorty,96.0,23.0,17.0,12.0,2.0,2.0,2.0,1.0,10.0,2.0,3.0,17.0,4.0,1.0
19.0,Dhanvin Bissessur,98.0,17.0,31.0,12.0,2.0,2.0,2.0,1.0,14.0,2.0,3.0,7.0,4.0,1.0
20.0,Faeez Kootbally,100.0,26.0,18.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,11.0,4.0,1.0
21.0,Mahe Rivet,101.0,35.0,13.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,8.0,4.0,1.0
22.0,Baptiste Wong,104.0,29.0,22.0,8.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,12.0,4.0,1.0
22.0,Lucas Martin,104.0,11.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
24.0,Rohan Ramrakha,108.0,15.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
25.0,Sahil Surdha,109.0,24.0,23.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
25.0,Edoo Mohamad Ridwaan,109.0,16.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
27.0,Florian Narayanen,113.0,20.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
28.0,Sufyan Mohammad Sahebdin,114.0,22.0,31.0,12.0,2.0,2.0,2.0,1.0,15.0,2.0,3.0,17.0,4.0,1.0
29.0,Jaden Oliver Ryan Ah-Yuen,117.0,42.0,21.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,9.0,4.0,1.0
30.0,Monish Jeetdeal,118.0,34.0,24.0,10.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
30.0,Ashfaaq Ahmad Jeetoo,118.0,25.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
32.0,Umar Abdoola,120.0,27.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
32.0,Omar Ben Hussein,120.0,33.0,25.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
34.0,Thomas Narayanen,121.0,28.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
35.0,Ronan Ragavoodoo,123.0,30.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
36.0,Rayan K.C. Ip Man Pun,124.0,36.0,26.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
37.0,Josh Ry Gobind,125.0,32.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
37.0,Mungul Khivesh,125.0,43.0,20.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
39.0,Asha Ah Whaye Joshi,129.0,40.0,27.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
40.0,Calvin Esau,130.0,37.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
41.0,Kevan Chinapul,131.0,38.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
42.0,Avnish Sooreea,132.0,39.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
43.0,Tatiana Khoodaruth,134.0,41.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
44.0,Wai Keung Yiu Man Lung,137.0,44.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
45.0,Aarish Bryan Sungker,138.0,45.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
46.0,Uzair Mamudbaccus,139.0,46.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
47.0,Sumaiya Kenza Atchia,140.0,47.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
48.0,Shreeya Appadoo,141.0,48.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
48.0,Karthik Murugesan,141.0,51.0,28.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
50.0,Taradhish Bucha,142.0,49.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
50.0,Abdur Rahmaan,142.0,53.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,13.0,4.0,1.0
52.0,Loic Martin,143.0,50.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
53.0,Tahheer Chuckoo,145.0,55.0,29.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,16.0,4.0,1.0
53.0,Reebye Chandish,145.0,52.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
55.0,Aditya Khushal Foogooa,147.0,57.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,14.0,4.0,1.0
55.0,Teshka Bhoyroo,147.0,54.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
57.0,Luvkumar Ruhan Hoolash,149.0,56.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
58.0,Akshay Tarolah,151.0,59.0,30.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
58.0,Avinash Pudaruth,151.0,58.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
60.0,Vihaan Guddoy,152.0,61.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,15.0,4.0,1.0
61.0,Dylan Tulsidas,153.0,60.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
62.0,Akshay Padaruth,155.0,62.0,31.0,12.0,2.0,2.0,2.0,1.0,16.0,2.0,3.0,17.0,4.0,1.0
