Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Mohammad Ahmad Abu Hussein,22.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
2.0,Adam Tiro,44.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,9.0,7.0,5.0,7.0
3.0,Zina Yaseen,62.0,6.0,6.0,3.0,5.0,3.0,2.0,4.0,3.0,9.0,6.0,9.0,6.0
4.0,Aziza Sbeih,72.0,8.0,15.0,8.0,5.0,3.0,2.0,8.0,3.0,9.0,9.0,1.0,1.0
5.0,Ahmad Abu Hussein,73.0,16.0,10.0,4.0,3.0,2.0,2.0,11.0,2.0,7.0,8.0,4.0,4.0
6.0,Taleen Sharawneh,103.0,26.0,23.0,6.0,4.0,3.0,2.0,17.0,3.0,2.0,3.0,7.0,7.0
7.0,Munes Ameen Mohammad Abd Elhaq,105.0,25.0,8.0,12.0,5.0,3.0,2.0,17.0,3.0,9.0,4.0,14.0,3.0
8.0,Mohammad Hammouz,113.0,4.0,4.0,5.0,5.0,3.0,2.0,6.0,3.0,9.0,45.0,20.0,7.0
9.0,Ismael Khalil,119.0,7.0,3.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,3.0,7.0
10.0,Abdallah Jamjoum,122.0,11.0,7.0,7.0,5.0,3.0,2.0,3.0,3.0,9.0,45.0,20.0,7.0
11.0,Shadi Almohtaseb,123.0,9.0,13.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,20.0,20.0,7.0
12.0,Yazan K.I. Hamad,130.0,27.0,20.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,2.0,20.0,7.0
13.0,Yazan Hicham,131.0,22.0,16.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,12.0,20.0,7.0
14.0,Ahmad Qaq,136.0,19.0,19.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,19.0,18.0,7.0
14.0,Yousef Dweik,136.0,5.0,5.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
14.0,Zaid Asem Abdeen,136.0,31.0,14.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,10.0,20.0,7.0
17.0,Rober John Robert Rober Handal,138.0,32.0,18.0,11.0,5.0,3.0,2.0,17.0,3.0,9.0,11.0,20.0,7.0
18.0,Khaled Mohammad Shanty,142.0,43.0,27.0,10.0,5.0,3.0,2.0,16.0,3.0,9.0,5.0,12.0,7.0
19.0,Abdallah Awedah,149.0,9.0,37.0,15.0,5.0,3.0,2.0,9.0,3.0,9.0,30.0,20.0,7.0
19.0,Bara' Rame Zakarni,149.0,29.0,12.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,27.0,20.0,7.0
21.0,Ahmad Dadua,153.0,18.0,9.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
22.0,Mazen Abu Alfilat,154.0,28.0,22.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,23.0,20.0,7.0
22.0,Ahmed Nasser,154.0,33.0,29.0,15.0,5.0,3.0,2.0,17.0,3.0,3.0,17.0,20.0,7.0
24.0,Mayar Adnan Natsheh,156.0,24.0,24.0,15.0,5.0,3.0,2.0,13.0,3.0,9.0,31.0,20.0,7.0
25.0,Fares Saadeh,163.0,17.0,28.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,37.0,20.0,7.0
26.0,Yousef Dadua,168.0,30.0,17.0,15.0,5.0,3.0,2.0,12.0,3.0,9.0,45.0,20.0,7.0
27.0,Widad Nabulsi,169.0,62.0,30.0,15.0,5.0,3.0,2.0,17.0,3.0,4.0,15.0,6.0,7.0
28.0,Mohammad Tarsha,170.0,47.0,21.0,13.0,5.0,3.0,2.0,17.0,3.0,6.0,38.0,10.0,5.0
29.0,Yaman Alkayyali,174.0,20.0,38.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,35.0,20.0,7.0
30.0,Omar Shareef Soblaban,179.0,44.0,32.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,25.0,17.0,7.0
31.0,Nabeel Sabobeh,183.0,46.0,11.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
32.0,Jacob Sublaban,195.0,56.0,25.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,8.0,7.0
33.0,Bara' Ahmad Ibraheem Alayan,197.0,55.0,34.0,15.0,5.0,3.0,2.0,15.0,3.0,9.0,34.0,20.0,2.0
34.0,Adam Abu Hussein,201.0,63.0,31.0,15.0,5.0,3.0,2.0,17.0,3.0,8.0,28.0,19.0,7.0
35.0,Tareq Alkhaldi,205.0,14.0,81.0,9.0,5.0,3.0,2.0,7.0,3.0,9.0,45.0,20.0,7.0
36.0,Saif Sababa,208.0,13.0,81.0,15.0,5.0,3.0,2.0,5.0,3.0,9.0,45.0,20.0,7.0
37.0,Adam Zakut,209.0,75.0,40.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,13.0,20.0,7.0
37.0,Amir Ayman Abdalla,209.0,2.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
39.0,Jana Ahmad Abu Hussein,212.0,65.0,44.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,29.0,13.0,7.0
40.0,Omar Hsam Haj Hussien,215.0,15.0,81.0,15.0,5.0,3.0,2.0,10.0,3.0,9.0,45.0,20.0,7.0
40.0,Adam Akram Adel Abu Shokor,215.0,71.0,47.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,16.0,20.0,7.0
42.0,Sabri Makki,218.0,68.0,52.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,22.0,15.0,7.0
43.0,Firas Waleed Herbawy,219.0,12.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
44.0,Malek Awde,220.0,52.0,42.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
44.0,Mohammad Abd Alsalam Ghosha,220.0,80.0,45.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,14.0,20.0,7.0
44.0,Aabed Alrhmn Abu Sneenh,220.0,41.0,53.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
47.0,Mahmoud Said Mahmoud Hudairi,222.0,42.0,54.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
48.0,Osayd Khalil Ibrahim Sabri,223.0,64.0,33.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
49.0,Mera Mohammed Halawani,224.0,67.0,41.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,39.0,16.0,7.0
50.0,Madeeha Mohanad Essa Ashqar,225.0,60.0,39.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
51.0,Issa Mohammad Abase,226.0,57.0,43.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
52.0,Omar Talgy,228.0,21.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
53.0,Firas Rami Shwiki,230.0,23.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
54.0,Zaid Nabulsi,232.0,40.0,66.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
55.0,Ahmad Abu Kteash,234.0,45.0,63.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
55.0,Evelina Khalid Nasrallah,234.0,58.0,50.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
57.0,Dalia Sbaih,238.0,89.0,26.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,42.0,20.0,7.0
57.0,Fares Issa,238.0,34.0,81.0,15.0,5.0,3.0,2.0,14.0,3.0,9.0,45.0,20.0,7.0
59.0,Yousef Jamal Abu Remaileh,242.0,35.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
60.0,Jood Dawod Herbawi,243.0,36.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
61.0,Hamza Muhtaseb,244.0,37.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
62.0,Bushra Alayan,245.0,38.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
63.0,Ahmad Mohammad Shanty,246.0,95.0,49.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,21.0,20.0,7.0
63.0,Majd Mamoun Daoud Farrah,246.0,39.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
63.0,Omran Shadi Qawasma,246.0,49.0,71.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
66.0,Yaqoub Soblaban,247.0,117.0,36.0,15.0,5.0,3.0,2.0,17.0,3.0,5.0,26.0,11.0,7.0
66.0,Omar Mohammad Abase,247.0,74.0,56.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,36.0,20.0,7.0
68.0,Ghaith Zahda,248.0,54.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,32.0,20.0,7.0
69.0,Khaled Abu Rajab,249.0,61.0,62.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
70.0,Maryam Jamjoum,254.0,82.0,46.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
70.0,Sameer Atari,254.0,69.0,59.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
72.0,Yassen Abedalrzaq Jaber,255.0,48.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
73.0,Eiad Taha Abd Albaset,257.0,50.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
74.0,Maen Shhadeh,258.0,77.0,55.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
74.0,Mathias Awad,258.0,51.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
76.0,Jana Said Mahmoud Hudairi,260.0,53.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
77.0,Loona Wesam Tamimi,265.0,88.0,51.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
78.0,Hesham Jean,266.0,79.0,61.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
78.0,Sadeen Faqeeh,266.0,73.0,67.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
78.0,Noor Zohair,266.0,59.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
81.0,Yazan Dweik,267.0,81.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,24.0,20.0,7.0
82.0,Amer Ahmad Saad,269.0,78.0,65.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
83.0,Yousef Touri,272.0,86.0,60.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
83.0,Ahmad Totah,272.0,99.0,47.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
85.0,Adam Ahmed Mahmoud Afana,273.0,66.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
86.0,Khader Sandouka,277.0,117.0,35.0,14.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
86.0,Hamza Ali Jamoos,277.0,70.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
88.0,Ahmad Karameh,279.0,72.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
89.0,Adam Awadallah,280.0,91.0,63.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
90.0,Roaa Karem Baktan,283.0,76.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
91.0,Sewar Tamimi,285.0,90.0,69.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
92.0,Nadeen Dies,286.0,83.0,77.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
93.0,Anas Zoheir Abu Remala,291.0,84.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
93.0,Ahmad Shkree,291.0,85.0,80.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
95.0,Alaa Alhusseny,294.0,87.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
95.0,Maen Shehada,294.0,100.0,72.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,41.0,20.0,7.0
97.0,Hala Totah,297.0,96.0,75.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
97.0,Noor Naim Nasser,297.0,117.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,18.0,20.0,7.0
99.0,Ahmad Atrash,299.0,92.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
100.0,Hana Dissi,300.0,117.0,57.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
100.0,Mohamed Bilal Yosre Razem,300.0,93.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
102.0,Motasem Tamimi,301.0,117.0,58.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
102.0,Joury Tiro,301.0,94.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
104.0,Sultan Sharif,303.0,109.0,68.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
105.0,Mohmad Hani Salhab,304.0,97.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
105.0,Tayba Isaa Qasem,304.0,113.0,70.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,40.0,20.0,7.0
107.0,Jamal Mohammed Nooh Jabari,305.0,98.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
108.0,Nadia Asad Qoraan,306.0,102.0,78.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
109.0,Jannat Ahmad Ibraheem Alayan,308.0,108.0,76.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,43.0,20.0,7.0
109.0,Ayham Khalil Ibrahim Sabri,308.0,101.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
111.0,Jameela Abu Hussein,310.0,117.0,79.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,33.0,20.0,7.0
111.0,Mahmoud Hani Salhab,310.0,103.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
111.0,Bashar Madi,310.0,110.0,74.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
114.0,Ebaa Mohammad Badrieh,311.0,104.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
115.0,Hanin Khalil Ibrahim Sabri,312.0,105.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
115.0,Omar Wissam Idkedik,312.0,106.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,44.0,20.0,7.0
117.0,Fatma Ibrahem Karajeh,314.0,107.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
118.0,Ahmad Wahdi,316.0,117.0,73.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
119.0,Ghyda Alkhaldi,318.0,111.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
120.0,Ayham Khalil Ibrahim Sabri,319.0,112.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
121.0,Hanin Khalil Ibrahim Sabri,321.0,114.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
122.0,Yamen Yasser Sanduka,322.0,115.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
123.0,Lucia Hamzah Abu Lafi,323.0,116.0,81.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
