Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Muhammad Saleh Imtiaz,22.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
2.0,Abdullah Gulab,47.0,8.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,4.0,1.0,1.0
3.0,Mohammad Owais,60.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,8.0,3.0,3.0,5.0,3.0,3.0
4.0,Muhammad Haris Aamir,106.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
5.0,Mehak Zehra,120.0,19.0,16.0,18.0,9.0,4.0,4.0,4.0,4.0,12.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0
6.0,Muhammad Munim,125.0,9.0,32.0,5.0,6.0,4.0,4.0,4.0,4.0,14.0,5.0,8.0,8.0,11.0,5.0,3.0,3.0
7.0,Yanis Aamir,137.0,13.0,6.0,13.0,16.0,4.0,4.0,3.0,4.0,37.0,5.0,8.0,2.0,11.0,5.0,3.0,3.0
8.0,Saffi-ul Hassan,141.0,6.0,14.0,11.0,8.0,4.0,4.0,4.0,4.0,10.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
8.0,Muhammad Ali,141.0,7.0,12.0,6.0,16.0,4.0,4.0,4.0,3.0,9.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
10.0,Ahmed Nadeem,142.0,10.0,10.0,15.0,11.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
11.0,Kublai Khan Qasimi,147.0,5.0,11.0,10.0,10.0,4.0,4.0,4.0,4.0,19.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
12.0,Muhammad Hashir,160.0,17.0,12.0,17.0,7.0,4.0,4.0,4.0,4.0,15.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
13.0,Muhammad Dawar,161.0,34.0,19.0,19.0,16.0,4.0,4.0,4.0,4.0,18.0,5.0,8.0,4.0,11.0,5.0,3.0,3.0
14.0,Affan Bin Naveed,167.0,28.0,22.0,12.0,5.0,4.0,4.0,4.0,4.0,8.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
15.0,Mahrukh Atif Zahoor,178.0,18.0,8.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,14.0,11.0,5.0,3.0,3.0
16.0,Ali Jawad Parpia,179.0,12.0,25.0,21.0,16.0,4.0,4.0,4.0,4.0,37.0,2.0,8.0,25.0,9.0,2.0,3.0,3.0
17.0,Abdul Wahab,188.0,26.0,37.0,31.0,16.0,4.0,4.0,4.0,4.0,20.0,5.0,8.0,7.0,11.0,5.0,3.0,3.0
17.0,Haniel Idrees,188.0,33.0,26.0,20.0,13.0,4.0,4.0,4.0,4.0,26.0,5.0,8.0,20.0,10.0,5.0,3.0,3.0
19.0,Rehan Arshad,190.0,40.0,21.0,16.0,16.0,4.0,4.0,4.0,4.0,16.0,5.0,8.0,30.0,11.0,5.0,3.0,3.0
20.0,Hamza Asif Khan,196.0,57.0,9.0,25.0,16.0,4.0,4.0,4.0,4.0,37.0,4.0,4.0,11.0,6.0,5.0,3.0,3.0
21.0,Muhammad Mustafa Bilal,198.0,14.0,18.0,34.0,16.0,4.0,4.0,4.0,4.0,24.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
21.0,Mustafa Danish,198.0,27.0,7.0,24.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,3.0,41.0,11.0,5.0,3.0,3.0
23.0,Abbas Noorani,200.0,29.0,23.0,34.0,16.0,4.0,4.0,4.0,4.0,29.0,5.0,8.0,18.0,11.0,5.0,3.0,3.0
24.0,Muhammad Shaheer Ul Haq,203.0,16.0,31.0,26.0,16.0,4.0,4.0,4.0,4.0,22.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
24.0,Rusab Alam,203.0,15.0,35.0,34.0,16.0,4.0,4.0,4.0,4.0,25.0,5.0,8.0,27.0,11.0,5.0,3.0,3.0
26.0,Muhammad Affan Khan,206.0,36.0,15.0,34.0,16.0,4.0,4.0,4.0,4.0,32.0,5.0,8.0,22.0,11.0,5.0,3.0,3.0
27.0,Raza Ibrahim,207.0,3.0,82.0,8.0,16.0,4.0,4.0,4.0,4.0,6.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
28.0,Muhammad Ayaan,217.0,30.0,33.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,16.0,11.0,5.0,3.0,3.0
29.0,Wajahat Ahsen,221.0,11.0,82.0,9.0,16.0,4.0,4.0,4.0,4.0,11.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
30.0,Ibrahim Fahd,224.0,21.0,34.0,34.0,16.0,4.0,4.0,4.0,4.0,27.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
31.0,Aayan Alam,225.0,21.0,82.0,7.0,16.0,4.0,4.0,4.0,4.0,7.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
32.0,Hassan Shahnawaz Tarar,228.0,41.0,24.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,31.0,5.0,5.0,3.0,3.0
32.0,Aarham Aziz,228.0,32.0,17.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
34.0,Abdullah Muhammad Faisal Siddiqui,229.0,59.0,4.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,28.0,11.0,5.0,3.0,3.0
35.0,Mohammad Shayan Sarwar,232.0,25.0,28.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
36.0,Muhammad Usman Amjad,238.0,37.0,42.0,22.0,12.0,3.0,3.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,3.0,3.0,3.0
37.0,Salaar Asim,239.0,53.0,40.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,7.0,9.0,11.0,5.0,3.0,3.0
38.0,Zeeshan Khokhar,245.0,20.0,52.0,34.0,16.0,4.0,4.0,4.0,4.0,31.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
39.0,Wojood Ibne Sadaf,248.0,31.0,82.0,14.0,16.0,4.0,4.0,4.0,4.0,13.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
40.0,Muhammad Muzzammil Khan,249.0,47.0,30.0,27.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
41.0,Haaris Omar,250.0,35.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,21.0,5.0,8.0,15.0,7.0,5.0,3.0,3.0
42.0,Muhammad Zohaib Arsalan Khan,252.0,48.0,29.0,34.0,16.0,4.0,4.0,4.0,4.0,33.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
43.0,Muhammad Osaid,269.0,64.0,26.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
44.0,Mohammed Bin Faisal Khan,272.0,49.0,44.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
44.0,Hassan Nizamani,272.0,66.0,41.0,34.0,16.0,4.0,4.0,4.0,4.0,23.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
46.0,Syed Muhammad Muslim Hussain Rizvi,273.0,55.0,53.0,23.0,14.0,4.0,4.0,4.0,4.0,36.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
47.0,Sardar Sultan,276.0,24.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,28.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
48.0,Fadel Taha Anwar,279.0,42.0,58.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
49.0,Mohammad Mustafa Zahidi,281.0,75.0,36.0,29.0,15.0,4.0,4.0,4.0,4.0,34.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
50.0,Imran Mazhar,284.0,23.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
51.0,Mugherah Samim Khan,285.0,56.0,50.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
51.0,Hamza Malik,285.0,50.0,82.0,28.0,16.0,4.0,4.0,4.0,4.0,17.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
51.0,Amna Fatima,285.0,68.0,45.0,34.0,16.0,4.0,4.0,4.0,4.0,30.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
54.0,Naema Asif,286.0,65.0,62.0,34.0,16.0,4.0,4.0,4.0,4.0,35.0,5.0,8.0,23.0,11.0,5.0,3.0,3.0
55.0,Sarim Maqsood,287.0,70.0,38.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
56.0,Muhammad Ibrahim Hanif,292.0,62.0,51.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
57.0,Saad Sohail,298.0,39.0,82.0,32.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
57.0,Dabeer Hassan,298.0,60.0,59.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
57.0,Muhammad Ibrahim Umair,298.0,63.0,56.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
60.0,Zain Abbas,299.0,38.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
61.0,Muhammad Azhar Aamir,302.0,72.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,10.0,11.0,5.0,3.0,3.0
62.0,Ebrahim Mohammad Akram,303.0,71.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,12.0,11.0,5.0,3.0,3.0
63.0,Ali Saim,304.0,43.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
64.0,Uzair Ellahi,305.0,44.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
64.0,Zoraiz Aly Irfan,305.0,77.0,69.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,21.0,11.0,5.0,3.0,3.0
66.0,Muhammad Muqtasid,306.0,45.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
67.0,Ibrahim Daniyal Rashid,307.0,100.0,48.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,24.0,8.0,5.0,3.0,3.0
67.0,Khizar Kamran,307.0,46.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
69.0,Aania Malik,309.0,87.0,47.0,30.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
70.0,Muhammad Saad Umar,310.0,51.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,6.0,41.0,11.0,5.0,3.0,3.0
71.0,Dayyan Mirza,311.0,89.0,49.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,35.0,11.0,5.0,3.0,3.0
72.0,Zoraiz Farrukh,313.0,67.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,26.0,11.0,5.0,3.0,3.0
72.0,Kumail Amir,313.0,52.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
74.0,Fatima Gulab,315.0,90.0,68.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,19.0,11.0,5.0,3.0,3.0
74.0,Owais Iqbal,315.0,54.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
76.0,Faraan Faisal Tahir,319.0,58.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
77.0,Syed Aadil Ahmed,322.0,61.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
78.0,Muhammad Nibras Khan,323.0,78.0,66.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
79.0,Fatima Mehdi,325.0,108.0,39.0,33.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
80.0,Saif Ali Hassan,327.0,74.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,33.0,11.0,5.0,3.0,3.0
81.0,Muhammad Azlan Azhar,328.0,76.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,32.0,11.0,5.0,3.0,3.0
81.0,Muhammad Raahim Zia,328.0,95.0,54.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
81.0,Daim Hassan,328.0,106.0,43.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
84.0,Eshaan Sohaib,330.0,69.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
85.0,Rafay Haider,332.0,126.0,55.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,13.0,11.0,5.0,3.0,3.0
86.0,Safan Adeel,333.0,99.0,67.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,29.0,11.0,5.0,3.0,3.0
87.0,Jibran Siddiqui,334.0,73.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
88.0,Muhammad Mehryar Hanif,335.0,91.0,65.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
89.0,Muhammad Hashir,336.0,137.0,20.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
90.0,Mohamed Saleem Watanabe,340.0,79.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
91.0,Muhammad Arham Mushabir,341.0,88.0,74.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
91.0,Dawood Irfan Zafar,341.0,80.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
91.0,Sabrina Mustafa Khan,341.0,123.0,63.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,17.0,11.0,5.0,3.0,3.0
94.0,Syed M. Raza Ali,342.0,81.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
95.0,Syeda Muskan Zehra,343.0,82.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
96.0,Khizar Irshad Chaudhry,344.0,83.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
97.0,Ayesha Wali,345.0,84.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
98.0,Muhammad Hamza Fahim Uddin,346.0,85.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
99.0,Fatimah Bilal,347.0,86.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
100.0,Shah Ebrahim,349.0,109.0,61.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
100.0,Ahmad Hassan,349.0,110.0,60.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
102.0,Muhammad Suhaim,351.0,92.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,39.0,11.0,5.0,3.0,3.0
102.0,Arham Zubair Jan,351.0,93.0,79.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
104.0,Nasar Ullah Kaleem,352.0,98.0,75.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
105.0,Ayaan M. Butt,355.0,94.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
105.0,Zain Ahmad,355.0,117.0,64.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,36.0,11.0,5.0,3.0,3.0
107.0,Syed Mohib Raza Zaidi,357.0,96.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
108.0,Uzain Khokhar,358.0,103.0,76.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
108.0,Shahzain Abdullah,358.0,97.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
110.0,Ayaan Faisal,359.0,137.0,46.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,38.0,11.0,5.0,3.0,3.0
111.0,Abdul Wahab,362.0,101.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
111.0,Owais Nisar,362.0,105.0,78.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
111.0,Fatima Mazhar,362.0,115.0,72.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,37.0,11.0,5.0,3.0,3.0
114.0,Amir Akhtar Hussain,363.0,102.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
115.0,Muhammad Alyaan Azhar,364.0,112.0,73.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
116.0,Masooma Zamir,365.0,104.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
117.0,Haider Raza,366.0,116.0,71.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
118.0,Aayan Ahmad Ashfaq,368.0,107.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
119.0,Muneeba Matiullah,370.0,121.0,70.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
120.0,Furqan Sajjad,372.0,111.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
121.0,Muhammad Abdullah Imtiaz,373.0,137.0,57.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
122.0,Ahmad Murad Malik,374.0,113.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
123.0,Khadija Amir,375.0,114.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
124.0,Muhammad Usman Khan,376.0,122.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,34.0,11.0,5.0,3.0,3.0
125.0,Syed Muhammad Haider Bukhari,379.0,120.0,80.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
125.0,Zaid Adnan,379.0,118.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
127.0,Misbah Iftekhar Malik,380.0,124.0,77.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
127.0,Syed Bilal Shah,380.0,119.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
129.0,Maria Halai,386.0,125.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
130.0,Sakina Halai,388.0,127.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
131.0,Eshal Alam,389.0,128.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
132.0,Hadi Muhammad Faisal Siddiqui,390.0,129.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
133.0,Ahmed Bhatti,391.0,130.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
134.0,Muhammad Suleman Arshad,392.0,131.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
135.0,Shaznoor Tehseen,393.0,132.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
136.0,Abeer Bhatti,394.0,133.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
137.0,Muhammad Anas,395.0,134.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
137.0,Muhammad Nauman Farooq,395.0,135.0,81.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
139.0,Haroon Shahnawaz Tarar,397.0,137.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,40.0,11.0,5.0,3.0,3.0
139.0,Sina Siddiqi,397.0,136.0,82.0,34.0,16.0,4.0,4.0,4.0,4.0,37.0,5.0,8.0,41.0,11.0,5.0,3.0,3.0
